DATETIME,FOM,ID,DISCUSSION
2020-06-17/17:51:13 - 2020-06-17/17:53:43,  70.0, arogers(EVA), Boundary layer 
2020-06-17/17:53:43 - 2020-06-17/17:56:03,  70.0, arogers(EVA), Boundary layer 
2020-06-17/17:56:03 - 2020-06-17/17:58:33,  70.0, arogers(EVA), Boundary layer 
2020-06-17/17:58:33 - 2020-06-17/18:01:03,  70.0, arogers(EVA), Boundary layer 
2020-06-17/20:29:23 - 2020-06-17/20:31:53, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:31:53 - 2020-06-17/20:34:23, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:34:23 - 2020-06-17/20:36:53, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:36:53 - 2020-06-17/20:39:23, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:39:23 - 2020-06-17/20:41:53, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:41:53 - 2020-06-17/20:44:13, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:44:13 - 2020-06-17/20:46:43, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:46:43 - 2020-06-17/20:49:13, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:49:13 - 2020-06-17/20:51:43, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:51:43 - 2020-06-17/20:54:13, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:54:13 - 2020-06-17/20:56:43, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:56:43 - 2020-06-17/20:59:13, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/20:59:13 - 2020-06-17/21:01:43, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:01:43 - 2020-06-17/21:04:13, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:04:13 - 2020-06-17/21:06:43, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:06:43 - 2020-06-17/21:09:13, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:09:13 - 2020-06-17/21:11:33, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:11:33 - 2020-06-17/21:14:03, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:14:03 - 2020-06-17/21:16:33, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:16:33 - 2020-06-17/21:19:03, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:19:03 - 2020-06-17/21:21:33, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:21:33 - 2020-06-17/21:24:03, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:24:03 - 2020-06-17/21:26:33, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:26:33 - 2020-06-17/21:29:03, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:29:03 - 2020-06-17/21:31:33, 140.0, arogers(EVA), Strong KH waves 
2020-06-17/21:31:33 - 2020-06-17/21:34:03, 140.0, arogers(EVA), Strong KH waves 
